"id","isbn13","title","authors","published_date","page_count","category","language","avg_rating","rating_count","img_url","preview_url","description"
"10","9781101486108","Strategic Moves","Stuart Woods","2011-01-18","257","Fiction","en","1.9","462","https://images.isbndb.com/covers/61/08/9781101486108.jpg","http://books.google.com.vn/books?id=GlHfBPW8nsMC&printsec=frontcover&dq=isbn:9781101486108&hl=&cd=1&source=gbs_api","In this New York Times bestseller from Stuart Woods, Stone Barrington gets a big payday and gets set up for an even bigger fall... Stone Barrington is enjoying his usual dinner at Elaine’s when his boss at Woodman & Weld, the law firm where Stone is “of counsel,” walks in, sits down and hands Stone a check for one million dollars. It seems Stone’s undercover dealings with MI6 had brought in a big new client for the firm, and they’re willing to pay Stone a huge bonus and make him a partner. But almost as soon as he’s taken the deal, Stone gets wind of an impending scandal that might torpedo his big promotion: it seems the lucrative new client he’s introduced to the firm might be a devil in disguise..."
"11","9780778329312","Wild Man Creek","Robyn Carr","2011-01-25","368","Fiction","en","0","87","https://images.isbndb.com/covers/93/12/9780778329312.jpg","http://books.google.com.vn/books?id=GdLrDAEACAAJ&dq=isbn:9780778329312&hl=&cd=1&source=gbs_api","Colin Riordan came to Virgin River to recuperate from a horrific helicopter crash, the scars of which he bears inside and out. His family is wonderfully supportive, but it's his art that truly soothes his troubled soul. Stung personally and professionally by an ill-advised affair, PR guru Jillian Matlock has rented an old Victorian with a promising garden in Virgin River. She's looking forward to cultivating something other than a corporate brand. Both are looking to simplify, not complicate, their lives, but when Jillian finds Colin at his easel in her yard, there's an instant connection. And in Virgin River, sometimes love is the simplest choice of all…."
"12","9780440339748","Shadowfever","Karen Marie Moning","2011-01-18","653","Fiction","en","4.3","832","https://images.isbndb.com/covers/97/48/9780440339748.jpg","http://books.google.com.vn/books?id=2H4J8ZbGhkAC&printsec=frontcover&dq=isbn:9780440339748&hl=&cd=1&source=gbs_api","#1 NEW YORK TIMES BESTSELLER “Evil is a completely different creature, Mac. Evil is bad that believes it’s good.” MacKayla Lane was just a child when she and her sister, Alina, were given up for adoption and banished from Ireland forever. Twenty years later, Alina is dead and Mac has returned to the country that expelled them to hunt her sister’s murderer. But after discovering that she descends from a bloodline both gifted and cursed, Mac is plunged into a secret history: an ancient conflict between humans and immortals who have lived concealed among us for thousands of years. What follows is a shocking chain of events with devastating consequences, and now Mac struggles to cope with grief while continuing her mission to acquire and control the Sinsar Dubh—a book of dark, forbidden magic scribed by the mythical Unseelie King, containing the power to create and destroy worlds. In an epic battle between humans and Fae, the hunter becomes the hunted when the Sinsar Dubh turns on Mac and begins mowing a deadly path through those she loves. Who can she turn to? Who can she trust? Who is the woman haunting her dreams? More important, who is Mac herself and what is the destiny she glimpses in the black and crimson designs of an ancient tarot card? From the luxury of the Lord Master’s penthouse to the sordid depths of an Unseelie nightclub, from the erotic bed of her lover to the terrifying bed of the Unseelie King, Mac’s journey will force her to face the truth of her exile, and to make a choice that will either save the world . . . or destroy it. BONUS: This edition contains a deleted scene from Shadowfever and an excerpt from Karen Marie Moning's Iced. Karen Marie Moning’s explosive Fever series continues DARKFEVER • BLOODFEVER • FAEFEVER • DREAMFEVER • SHADOWFEVER • ICED • BURNED • FEVERBORN • FEVERSONG • HIGH VOLTAGE • KINGDOM OF SHADOW AND LIGHT"
"13","9780316129114","Room","Emma Donoghue","2010-09-13","336","Fiction","en","2.7","77","https://images.isbndb.com/covers/91/14/9780316129114.jpg","http://books.google.com.vn/books?id=Wo5cDwAAQBAJ&printsec=frontcover&dq=isbn:9780316129114&hl=&cd=1&source=gbs_api","The award-winning bestseller that became one of the most talked about and memorable novels of the decade, Room is ""utterly gripping...a heart-stopping novel"" (San Francisco Chronicle). Held captive for years in a small shed, a woman and her precocious young son finally gain their freedom, and the boy experiences the outside world for the first time. To five-year-old-Jack, Room is the world. It's where he was born, it's where he and his Ma eat and sleep and play and learn. At night, his Ma shuts him safely in the wardrobe, where he is meant to be asleep when Old Nick visits. Room is home to Jack, but to Ma it's the prison where she has been held for seven years. Through her fierce love for her son, she has created a life for him in this eleven-by-eleven-foot space. But with Jack's curiosity building alongside her own desperation, she knows that Room cannot contain either much longer. Room is a tale at once shocking, riveting, exhilarating — a story of unconquerable love in harrowing circumstances, and of the diamond-hard bond between a mother and her child."
"14","9780553907537","What the Night Knows (with bonus novella Darkness Under the Sun)","Dean Koontz","2010-12-28","379","Fiction","en","0.3","913","https://images.isbndb.com/covers/75/37/9780553907537.jpg","http://books.google.com.vn/books?id=1DAUTBIavqYC&printsec=frontcover&dq=isbn:9780553907537&hl=&cd=1&source=gbs_api","#1 NEW YORK TIMES BESTSELLER In the late summer of a long-ago year, Alton Turner Blackwood brutally murdered four families. His savage spree ended only when he himself was killed by the last survivor of the last family, a fourteen-year-old boy. Half a continent away and two decades later, someone is murdering families again, re-creating in detail Blackwood’s crimes. Homicide detective John Calvino is certain that his own family—his wife and three children—will be targets, just as his parents and sisters were victims on that distant night when he was fourteen and killed their slayer. As a detective, John is a man of reason who deals in cold facts. But an extraordinary experience convinces him that sometimes death is not a one-way journey, that sometimes the dead return. Includes the bonus novella Darkness Under the Sun and an excerpt from Dean Koontz's The City!"
"15","9781590204597","True Grit","Charles Portis","2010-11-05","0","Fiction","en","3.1","512","https://images.isbndb.com/covers/45/97/9781590204597.jpg","http://books.google.com.vn/books?id=Q16qzwEACAAJ&dq=isbn:9781590204597&hl=&cd=1&source=gbs_api","Pursuing a murderer who has escaped into Indian Territory, U.S. Marshal Rooster J. Cogburn teams up with a bounty-hunting Texas Ranger and Mattie Ross, a cantankerous young lady who is bent on revenge."
"16","9780316122252","Cross Fire","James Patterson","2010-11-15","384","Fiction","en","4.1","358","https://images.isbndb.com/covers/22/52/9780316122252.jpg","http://books.google.com.vn/books?id=4ZU4AQAAQBAJ&printsec=frontcover&dq=isbn:9780316122252&hl=&cd=1&source=gbs_api","Alex Cross encounters his most explosive case ever as a D. C. assassin picks off politicians . . . and his most deadly enemy is waiting to kill everyone he loves. Detective Alex Cross and Bree's wedding plans are put on hold when Alex is called to the scene of the perfectly executed assassination of two of Washington D.C.'s most corrupt: a dirty congressmen and an underhanded lobbyist. Next, the elusive gunman begins picking off other crooked politicians, sparking a blaze of theories: is the marksman a hero or a vigilante? The case explodes, and the FBI assigns agent Max Siegel to the investigation. As Alex and Siegel battle over jurisdiction, the murders continue-and they won't stop until Cross and his family are gone for good. With a supercharged blend of action, deception, and suspense, Cross Fire is James Patterson's most visceral and exciting Alex Cross novel ever."
"17","9781101486092","The Sentry","Robert Crais","2011-01-11","214","Fiction","en","3.8","12","https://images.isbndb.com/covers/60/92/9781101486092.jpg","http://books.google.com.vn/books?id=_3eu9hxU9NQC&printsec=frontcover&dq=isbn:9781101486092&hl=&cd=1&source=gbs_api","Private investigators Joe Pike and Elvis Cole get double-crossed in this twisty, gripping New York Times bestseller that will have readers on the edge of their seats. When gangbangers shake down the modest owner of a Los Angeles eatery, Joe Pike intervenes. For all intents and purposes, Pike saved Wilson Smith's life. But for reasons of their own, Smith and his lovely niece, Dru, are curiously resentful. It's only when Pike's feelings for the woman deepen that he and his partner, Elvis Cole, discover that Dru and her uncle are not at all who they seem, and everything Pike has learned about them is a lie. But it's much more than a deception. It's a trap. And with every new twist it's proving to be a killer."
"18","9780679603757","Unbroken","Laura Hillenbrand","2010-11-16","497","Biography and Autobiography","en","4.2","271","https://images.isbndb.com/covers/37/57/9780679603757.jpg","http://books.google.com.vn/books?id=-kNK2cNXlEQC&printsec=frontcover&dq=isbn:9780679603757&hl=&cd=1&source=gbs_api","#1 NEW YORK TIMES BESTSELLER • The incredible true story of survival and salvation that is the basis for two major motion pictures: Unbroken and Unbroken: Path to Redemption. “Extraordinarily moving . . . a powerfully drawn survival epic.”—The Wall Street Journal Hailed as the top nonfiction book of the year by Time magazine • Winner of the Los Angeles Times Book Prize for biography On a May afternoon in 1943, an Army Air Forces bomber crashed into the Pacific Ocean and disappeared, leaving only a spray of debris and a slick of oil, gasoline, and blood. Then, on the ocean surface, a face appeared. It was that of a young lieutenant, the plane’s bombardier, who was struggling to a life raft and pulling himself aboard. So began one of the most extraordinary odysseys of the Second World War. The lieutenant’s name was Louis Zamperini. In boyhood, he’d been a cunning and incorrigible delinquent, breaking into houses, brawling, and fleeing his home to ride the rails. As a teenager, he had channeled his defiance into running, discovering a prodigious talent that had carried him to the Berlin Olympics and within sight of the four-minute mile. But when war had come, the athlete had become an airman, embarking on a journey that led to his doomed flight, a tiny raft, and a drift into the unknown. Ahead of Zamperini lay thousands of miles of open ocean, leaping sharks, a foundering raft, thirst and starvation, enemy aircraft, and, beyond, a trial even greater. Driven to the limits of endurance, Zamperini would answer desperation with ingenuity; suffering with hope, resolve, and humor; brutality with rebellion. His fate, whether triumph or tragedy, would be suspended on the fraying wire of his will. Laura Hillenbrand writes with the same rich and vivid narrative voice she displayed in Seabiscuit. Telling an unforgettable story of a man’s journey into extremity, Unbroken is a testament to the resilience of the human mind, body, and spirit."
"19","9781594202841","Battle Hymn of the Tiger Mother","Amy Chua","2011-01","237","Biography and Autobiography","en","4.9","664","https://images.isbndb.com/covers/28/41/9781594202841.jpg","http://books.google.com.vn/books?id=TGdyngEACAAJ&dq=isbn:9781594202841&hl=&cd=1&source=gbs_api","The Yale Law School professor and author of the best-selling World on Fire traces the rewards and pitfalls of a Chinese mother's exercise in extreme parenting, describing the exacting standards applied to grades, music lessons and avoidance of Western cultural practices."
